,ML Signal Blend,Equal-Weight Sectors,6M Momentum Top 3,SPY Buy & Hold
2015-01-31,0.0,0.0,0.0,0.0
2015-02-28,0.0,0.0,0.0,0.0
2015-03-31,-0.007506182176619025,-0.017153362502082214,-0.006483617202424075,-0.015705806618642626
2015-04-30,-0.012936621545680538,-0.006075355058425713,-0.012781927871966303,-0.00602606803368444
2015-05-31,0.0,0.0,0.0,0.0
2015-06-30,-0.012688769650983978,-0.024797225226797392,-0.013157014679628376,-0.020312299365632724
2015-07-31,0.0,-0.010211269915127552,0.0,0.0
2015-08-31,-0.06894237686453808,-0.06718983462961681,-0.07239076455638072,-0.06095048301166517
2015-09-30,-0.08111223189397132,-0.09205094488043852,-0.10053833445075244,-0.08491119167448224
2015-10-31,-0.030727950181236086,-0.017746942524061615,-0.0541296241521132,-0.007074053694749671
2015-11-30,-0.02341991230101459,-0.01671696753766949,-0.056042426596954575,-0.0034447128444808905
2015-12-31,-0.0343241645643253,-0.036337343835310065,-0.0623563901811689,-0.020667583302655723
2016-01-31,-0.05175340431788156,-0.07905171285106727,-0.05733380314382164,-0.06942542012844155
2016-02-29,-0.04078866602980902,-0.07080635253081513,-0.05231250129031373,-0.07019385073402395
2016-03-31,0.0,-0.005955953607717501,0.0,-0.007649444403251882
2016-04-30,0.0,0.0,0.0,-0.0037384352754825656
2016-05-31,0.0,0.0,0.0,0.0
2016-06-30,0.0,0.0,0.0,0.0
2016-07-31,0.0,0.0,-0.009677637392731087,0.0
2016-08-31,-0.014068338248851897,-0.0036725572707884124,-0.0029509791382044126,0.0
2016-09-30,-0.009509520594325305,-0.0036145492720988104,-0.00439595434286244,0.0
2016-10-31,-0.040097712156563214,-0.01941687001605219,-0.023730584622475903,-0.017336780887443837
2016-11-30,-0.014356560308317556,0.0,0.0,0.0
2016-12-31,0.0,0.0,0.0,0.0
2017-01-31,0.0,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0,0.0
2017-03-31,-0.010328684879305272,-0.0014048809238708104,-0.005518518029973274,0.0
2017-04-30,-0.000750637997340986,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0
2017-06-30,-0.008568078751062136,0.0,-0.027513826673349007,0.0
2017-07-31,0.0,0.0,-0.005180676127020223,0.0
2017-08-31,0.0,-0.0011419710015928564,0.0,0.0
2017-09-30,0.0,0.0,-0.00342504483280226,0.0
2017-10-31,0.0,0.0,0.0,0.0
2017-11-30,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0
2018-01-31,0.0,0.0,0.0,0.0
2018-02-28,-0.02673824240789613,-0.047529833178910796,-0.02321151915242836,-0.0363604026908787
2018-03-31,-0.05779348220125269,-0.0638408517677328,-0.05666275414233446,-0.06277437683997944
2018-04-30,-0.05824134956374727,-0.05573919307134845,-0.05035757439278499,-0.0579304927072376
2018-05-31,-0.028157332171910632,-0.0416623904176211,-0.013627151835332252,-0.03502964907254047
2018-06-30,-0.024892286652713036,-0.0330406897548412,-0.0007219637230668763,-0.029480383729838078
2018-07-31,0.0,0.0,0.0,0.0
2018-08-31,0.0,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0,0.0
2018-10-31,-0.06989055409984324,-0.0633322577656047,-0.0834808404612788,-0.0691044769618192
2018-11-30,-0.038515121559833054,-0.03931285414507102,-0.058327589966770454,-0.051837039913006144
2018-12-31,-0.10890171970076046,-0.12439796106985757,-0.12871026656987383,-0.13532134527704665
2019-01-31,-0.062230789097354244,-0.0588530269968115,-0.089718738579452,-0.06609031433536383
2019-02-28,-0.04115087588087163,-0.02822551786809302,-0.06857282405780707,-0.03581677762017066
2019-03-31,-0.0340269577185236,-0.01182144145195696,-0.05210203781915268,-0.018364748347705295
2019-04-30,-0.018608664732692293,0.0,-0.020553749097331875,0.0
2019-05-31,-0.09580796626643495,-0.06334052270420576,-0.09965607597095338,-0.06377106423908807
2019-06-30,-0.02988867032708198,0.0,-0.04029185703950444,0.0
2019-07-31,-0.024573258165216605,0.0,-0.023880756926477953,0.0
