,ML Signal Blend,Equal-Weight Sectors,6M Momentum Top 3,SPY Buy & Hold
2015-01-31,9677.893646597393,9769.570854598773,9771.238866451386,9703.709865873405
2015-02-28,9941.89338445232,10228.864586114514,9832.367050682167,10249.099933107924
2015-03-31,9867.267721528098,10053.405163884181,9768.617746531816,10088.129551543389
2015-04-30,9813.278872290155,10166.720601909312,9706.690444229649,10187.338159626985
2015-05-31,10019.909054942518,10241.67415562336,9949.816792542664,10318.310196012977
2015-06-30,9892.768737020542,9987.709054886896,9818.906906943568,10108.7215903641
2015-07-31,10303.01662419427,10137.093656437504,10163.807723720029,10337.071711858116
2015-08-31,9592.702169247468,9553.537762776605,9428.041911795888,9707.022198094144
2015-09-30,9467.315950565182,9298.918372440663,9141.955423499523,9459.338634379663
2015-10-31,9986.42604264958,10059.915753033343,9613.644631680718,10263.946711521954
2015-11-30,10061.720878419745,10070.464421232415,9594.203275417889,10301.46346815796
2015-12-31,9949.374186076446,9869.518920381264,9530.029363573365,10123.429421147763
2016-01-31,9769.800439148488,9432.052271158826,9581.07797249661,9619.416165364539
2016-02-29,9882.77032001044,9516.498564854553,9632.113519058425,9611.472843089046
2016-03-31,10574.02867526578,10180.675219487108,10323.58322810622,10257.99885650583
2016-04-30,10656.148846497672,10330.363901925863,10361.427296269607,10298.427238325314
2016-05-31,10704.668685360464,10440.078625542244,10425.538265384097,10473.619582185378
2016-06-30,11019.158502900467,10565.304417701402,10849.583176254167,10510.025654214754
2016-07-31,11253.04994534962,10869.787403755405,10744.584844412104,10893.337344587084
2016-08-31,11094.738232387217,10829.867486993819,10817.566282642827,10906.384975296913
2016-09-30,11146.038835145346,10830.49802160729,10801.888903972265,10907.012480724386
2016-10-31,10801.828387757561,10658.730154634564,10592.116224571477,10717.919995209453
2016-11-30,11091.494855156698,11082.943410094073,10890.790180260448,11112.753581666524
2016-12-31,11316.623162893666,11290.81582990499,11089.484394862802,11338.028030129592
2017-01-31,11402.662485062167,11497.522313494846,11293.497508940578,11540.91846355835
2017-02-28,11732.5781917317,11885.737239265743,11554.925012794201,11994.37988210429
2017-03-31,11611.396088767493,11869.039193752158,11491.158950776107,12009.370986766637
2017-04-30,11723.771272734211,11964.459155059156,11611.11324869752,12128.579089260147
2017-05-31,11968.241796195967,12093.093651140343,11670.255689565032,12299.74643402113
2017-06-30,11865.696957974405,12162.115316533344,11349.162297288674,12378.156822929273
2017-07-31,12024.4511946914,12384.859963932555,11609.79587451788,12632.580691371148
2017-08-31,12119.645660012031,12370.716812994955,11911.738923105575,12669.437670871977
2017-09-30,12405.298515932534,12676.935606463016,11870.940683257302,12924.722118185815
2017-10-31,12755.7573381273,12913.264930760648,12121.902995427154,13229.28008453754
2017-11-30,13048.452212656273,13314.66542125754,12344.202993917279,13633.64278912896
2017-12-31,13184.219246000339,13463.219145328369,12531.87085286374,13798.987779959316
2018-01-31,14071.866646868622,14074.438678781007,13266.722106407966,14576.692010116833
2018-02-28,13695.609665333062,13405.482956291737,12958.781332145132,14046.67761872807
2018-03-31,13258.604472274421,13175.914525374903,12514.9930934179,13661.649252793439
2018-04-30,13252.30214247391,13289.940823893578,12598.642160986123,13732.25705992911
2018-05-31,13675.640423413914,13488.063919636767,13085.934469906786,14066.075604363934
2018-06-30,13721.585708556016,13609.409516921867,13257.14401432313,14146.965536146923
2018-07-31,14112.20344786825,14107.094559812414,13497.693358429151,14671.057172736657
2018-08-31,14682.542640805772,14343.175152438524,13689.000942322991,15139.36268038765
2018-09-30,14792.990678204083,14413.56478246373,13816.634411705107,15229.375644649783
2018-10-31,13759.100362910583,13500.721182339494,12663.210158669737,14176.957606271193
2018-11-30,14223.236843999575,13846.926412460201,13010.743425018401,14439.929891507907
