date,SPY,IWM,EFA,EEM,AGG,BIL,SHY,IEF,TLT,TIP,LQD,HYG,GLD,DBC
1993-01-29,24.1132564545,,,,,,,,,,,,,
1993-02-01,24.2847709656,,,,,,,,,,,,,
1993-02-02,24.3362178802,,,,,,,,,,,,,
1993-02-03,24.5934696198,,,,,,,,,,,,,
1993-02-04,24.6963710785,,,,,,,,,,,,,
1993-02-05,24.6792221069,,,,,,,,,,,,,
1993-02-08,24.6792221069,,,,,,,,,,,,,
1993-02-09,24.5077190399,,,,,,,,,,,,,
1993-02-10,24.5420131683,,,,,,,,,,,,,
1993-02-11,24.6620712280,,,,,,,,,,,,,
1993-02-12,24.4734249115,,,,,,,,,,,,,
1993-02-16,23.8560085297,,,,,,,,,,,,,
1993-02-17,23.8388500214,,,,,,,,,,,,,
1993-02-18,23.8217010498,,,,,,,,,,,,,
1993-02-19,23.9074687958,,,,,,,,,,,,,
1993-02-22,23.9932117462,,,,,,,,,,,,,
1993-02-23,23.9760532379,,,,,,,,,,,,,
1993-02-24,24.2847709656,,,,,,,,,,,,,
1993-02-25,24.3362178802,,,,,,,,,,,,,
1993-02-26,24.3705101013,,,,,,,,,,,,,
1993-03-01,24.3019065857,,,,,,,,,,,,,
1993-03-02,24.6620712280,,,,,,,,,,,,,
1993-03-03,24.7649612427,,,,,,,,,,,,,
1993-03-04,24.6277694702,,,,,,,,,,,,,
1993-03-05,24.5591697693,,,,,,,,,,,,,
1993-03-08,25.1079711914,,,,,,,,,,,,,
1993-03-09,25.0222187042,,,,,,,,,,,,,
1993-03-10,25.0736808777,,,,,,,,,,,,,
1993-03-11,25.0050773621,,,,,,,,,,,,,
1993-03-12,24.7478332520,,,,,,,,,,,,,
1993-03-15,24.8678703308,,,,,,,,,,,,,
1993-03-16,24.8678703308,,,,,,,,,,,,,
1993-03-17,24.7135162354,,,,,,,,,,,,,
1993-03-18,24.8678703308,,,,,,,,,,,,,
1993-03-19,24.8302402496,,,,,,,,,,,,,
1993-03-22,24.6923980713,,,,,,,,,,,,,
1993-03-23,24.7440814972,,,,,,,,,,,,,
1993-03-24,24.7440814972,,,,,,,,,,,,,
1993-03-25,24.8991813660,,,,,,,,,,,,,
1993-03-26,24.7613124847,,,,,,,,,,,,,
1993-03-29,24.8646945953,,,,,,,,,,,,,
1993-03-30,24.9336223602,,,,,,,,,,,,,
1993-03-31,24.9164047241,,,,,,,,,,,,,
1993-04-01,24.8302402496,,,,,,,,,,,,,
1993-04-02,24.3133029938,,,,,,,,,,,,,
1993-04-05,24.4339199066,,,,,,,,,,,,,
1993-04-06,24.3650016785,,,,,,,,,,,,,
1993-04-07,24.4511489868,,,,,,,,,,,,,
1993-04-08,24.4166946411,,,,,,,,,,,,,
1993-04-12,24.7613124847,,,,,,,,,,,,,
1993-04-13,24.8130130768,,,,,,,,,,,,,
1993-04-14,24.7785530090,,,,,,,,,,,,,
1993-04-15,24.7785530090,,,,,,,,,,,,,
1993-04-16,24.7785530090,,,,,,,,,,,,,
1993-04-19,24.6751632690,,,,,,,,,,,,,
1993-04-20,24.5545368195,,,,,,,,,,,,,
1993-04-21,24.5373058319,,,,,,,,,,,,,
1993-04-22,24.2271308899,,,,,,,,,,,,,
1993-04-23,24.1237564087,,,,,,,,,,,,,
1993-04-26,23.9342060089,,,,,,,,,,,,,
1993-04-27,24.1926803589,,,,,,,,,,,,,
1993-04-28,24.1409931183,,,,,,,,,,,,,
1993-04-29,24.2443790436,,,,,,,,,,,,,
1993-04-30,24.2788391113,,,,,,,,,,,,,
1993-05-03,24.4339199066,,,,,,,,,,,,,
1993-05-04,24.5200805664,,,,,,,,,,,,,
1993-05-05,24.5890102386,,,,,,,,,,,,,
1993-05-06,24.5028400421,,,,,,,,,,,,,
1993-05-07,24.4511489868,,,,,,,,,,,,,
1993-05-10,24.5028400421,,,,,,,,,,,,,
1993-05-11,24.6062469482,,,,,,,,,,,,,
1993-05-12,24.5717678070,,,,,,,,,,,,,
1993-05-13,24.2788391113,,,,,,,,,,,,,
1993-05-14,24.2616081238,,,,,,,,,,,,,
1993-05-17,24.3477649689,,,,,,,,,,,,,
1993-05-18,24.3305320740,,,,,,,,,,,,,
1993-05-19,24.8302402496,,,,,,,,,,,,,
1993-05-20,24.8991813660,,,,,,,,,,,,,
1993-05-21,24.6751632690,,,,,,,,,,,,,
1993-05-24,24.7785530090,,,,,,,,,,,,,
1993-05-25,24.8302402496,,,,,,,,,,,,,
1993-05-26,25.1404056549,,,,,,,,,,,,,
1993-05-27,25.0542259216,,,,,,,,,,,,,
1993-05-28,24.9336223602,,,,,,,,,,,,,
1993-06-01,25.1748676300,,,,,,,,,,,,,
1993-06-02,25.1404056549,,,,,,,,,,,,,
1993-06-03,25.0542259216,,,,,,,,,,,,,
1993-06-04,24.9680862427,,,,,,,,,,,,,
1993-06-07,24.8819351196,,,,,,,,,,,,,
1993-06-08,24.6579170227,,,,,,,,,,,,,
1993-06-09,24.7440814972,,,,,,,,,,,,,
1993-06-10,24.7613124847,,,,,,,,,,,,,
1993-06-11,24.8646945953,,,,,,,,,,,,,
1993-06-14,24.8302402496,,,,,,,,,,,,,
1993-06-15,24.7785530090,,,,,,,,,,,,,
1993-06-16,24.8302402496,,,,,,,,,,,,,
1993-06-17,24.9164047241,,,,,,,,,,,,,
1993-06-18,24.7112064362,,,,,,,,,,,,,
1993-06-21,24.7632808685,,,,,,,,,,,,,
1993-06-22,24.7806320190,,,,,,,,,,,,,
1993-06-23,24.5550441742,,,,,,,,,,,,,
1993-06-24,24.8847389221,,,,,,,,,,,,,
1993-06-25,24.8673992157,,,,,,,,,,,,,
1993-06-28,25.1450386047,,,,,,,,,,,,,
1993-06-29,25.0235900879,,,,,,,,,,,,,
1993-06-30,25.0235900879,,,,,,,,,,,,,
1993-07-01,24.9541645050,,,,,,,,,,,,,
1993-07-02,24.8153285980,,,,,,,,,,,,,
1993-07-06,24.5550441742,,,,,,,,,,,,,
1993-07-07,24.6244411469,,,,,,,,,,,,,
1993-07-08,24.9021015167,,,,,,,,,,,,,
1993-07-09,24.9715118408,,,,,,,,,,,,,
1993-07-12,24.9541645050,,,,,,,,,,,,,
1993-07-13,24.9368057251,,,,,,,,,,,,,
1993-07-14,25.0235900879,,,,,,,,,,,,,
1993-07-15,24.9194469452,,,,,,,,,,,,,
1993-07-16,24.8500385284,,,,,,,,,,,,,
1993-07-19,24.8326721191,,,,,,,,,,,,,
1993-07-20,24.9021015167,,,,,,,,,,,,,
1993-07-21,24.8847389221,,,,,,,,,,,,,
1993-07-22,24.7112064362,,,,,,,,,,,,,
1993-07-23,24.8326721191,,,,,,,,,,,,,
1993-07-26,24.9715118408,,,,,,,,,,,,,
1993-07-27,24.9541645050,,,,,,,,,,,,,
1993-07-28,24.9021015167,,,,,,,,,,,,,
1993-07-29,25.0409088135,,,,,,,,,,,,,
1993-07-30,24.9021015167,,,,,,,,,,,,,
1993-08-02,24.9715118408,,,,,,,,,,,,,
1993-08-03,24.9888706207,,,,,,,,,,,,,
1993-08-04,24.9888706207,,,,,,,,,,,,,
1993-08-05,24.9368057251,,,,,,,,,,,,,
1993-08-06,24.9715118408,,,,,,,,,,,,,
1993-08-09,25.1103363037,,,,,,,,,,,,,
1993-08-10,25.0929927826,,,,,,,,,,,,,
1993-08-11,25.0929927826,,,,,,,,,,,,,
1993-08-12,25.0235900879,,,,,,,,,,,,,
1993-08-13,25.0582752228,,,,,,,,,,,,,
1993-08-16,25.1971035004,,,,,,,,,,,,,
1993-08-17,25.2838649750,,,,,,,,,,,,,
1993-08-18,25.4226970673,,,,,,,,,,,,,
1993-08-19,25.4226970673,,,,,,,,,,,,,
1993-08-20,25.4400577545,,,,,,,,,,,,,
1993-08-23,25.3879947662,,,,,,,,,,,,,
1993-08-24,25.6656436920,,,,,,,,,,,,,
1993-08-25,25.6829910278,,,,,,,,,,,,,
1993-08-26,25.7003459930,,,,,,,,,,,,,
1993-08-27,25.6829910278,,,,,,,,,,,,,
1993-08-30,25.7871227264,,,,,,,,,,,,,
1993-08-31,25.8565292358,,,,,,,,,,,,,
1993-09-01,25.8218269348,,,,,,,,,,,,,
1993-09-02,25.7350482941,,,,,,,,,,,,,
1993-09-03,25.7524089813,,,,,,,,,,,,,
1993-09-07,25.5788631439,,,,,,,,,,,,,
1993-09-08,25.4920959473,,,,,,,,,,,,,
1993-09-09,25.5441722870,,,,,,,,,,,,,
1993-09-10,25.7697563171,,,,,,,,,,,,,
1993-09-13,25.7871227264,,,,,,,,,,,,,
1993-09-14,25.6829910278,,,,,,,,,,,,,
1993-09-15,25.7524089813,,,,,,,,,,,,,
1993-09-16,25.6482887268,,,,,,,,,,,,,
1993-09-17,25.5985698700,,,,,,,,,,,,,
1993-09-20,25.3890056610,,,,,,,,,,,,,
1993-09-21,25.3017120361,,,,,,,,,,,,,
1993-09-22,25.5112590790,,,,,,,,,,,,,
1993-09-23,25.6509361267,,,,,,,,,,,,,
1993-09-24,25.5811023712,,,,,,,,,,,,,
1993-09-27,25.8604755402,,,,,,,,,,,,,
1993-09-28,25.8081016541,,,,,,,,,,,,,
1993-09-29,25.7207870483,,,,,,,,,,,,,
1993-09-30,25.6684207916,,,,,,,,,,,,,
1993-10-01,25.7906303406,,,,,,,,,,,,,
1993-10-04,25.8255577087,,,,,,,,,,,,,
1993-10-05,25.7906303406,,,,,,,,,,,,,
1993-10-06,25.7731723785,,,,,,,,,,,,,
1993-10-07,25.7033309937,,,,,,,,,,,,,
1993-10-08,25.7382392883,,,,,,,,,,,,,
1993-10-11,25.7906303406,,,,,,,,,,,,,
1993-10-12,25.8255577087,,,,,,,,,,,,,
1993-10-13,25.8255577087,,,,,,,,,,,,,
1993-10-14,26.1573371887,,,,,,,,,,,,,
1993-10-15,26.2970123291,,,,,,,,,,,,,
1993-10-18,26.2271728516,,,,,,,,,,,,,
1993-10-19,26.0351028442,,,,,,,,,,,,,
1993-10-20,26.0700111389,,,,,,,,,,,,,
1993-10-21,26.0351028442,,,,,,,,,,,,,
1993-10-22,25.9128627777,,,,,,,,,,,,,
1993-10-25,25.9827117920,,,,,,,,,,,,,
1993-10-26,25.9652595520,,,,,,,,,,,,,
1993-10-27,25.9827117920,,,,,,,,,,,,,
1993-10-28,26.1747779846,,,,,,,,,,,,,
1993-10-29,26.1747779846,,,,,,,,,,,,,
1993-11-01,26.2446498871,,,,,,,,,,,,,
1993-11-02,26.2271728516,,,,,,,,,,,,,
1993-11-03,25.8953971863,,,,,,,,,,,,,
1993-11-04,25.6160259247,,,,,,,,,,,,,
1993-11-05,25.7382392883,,,,,,,,,,,,,
1993-11-08,25.7731723785,,,,,,,,,,,,,
1993-11-09,25.7906303406,,,,,,,,,,,,,
1993-11-10,25.9827117920,,,,,,,,,,,,,
1993-11-11,25.9128627777,,,,,,,,,,,,,
1993-11-12,26.0351028442,,,,,,,,,,,,,
1993-11-15,26.0176410675,,,,,,,,,,,,,
1993-11-16,26.1398773193,,,,,,,,,,,,,
1993-11-17,26.0001831055,,,,,,,,,,,,,
1993-11-18,25.9303188324,,,,,,,,,,,,,
1993-11-19,25.8779373169,,,,,,,,,,,,,
1993-11-22,25.7207870483,,,,,,,,,,,,,
1993-11-23,25.8604755402,,,,,,,,,,,,,
1993-11-24,25.9652595520,,,,,,,,,,,,,
1993-11-26,25.9827117920,,,,,,,,,,,,,
1993-11-29,25.8779373169,,,,,,,,,,,,,
1993-11-30,25.8953971863,,,,,,,,,,,,,
1993-12-01,25.9303188324,,,,,,,,,,,,,
1993-12-02,26.0001831055,,,,,,,,,,,,,
1993-12-03,26.1049480438,,,,,,,,,,,,,
1993-12-06,26.1922588348,,,,,,,,,,,,,
1993-12-07,26.1747779846,,,,,,,,,,,,,
1993-12-08,26.1747779846,,,,,,,,,,,,,
1993-12-09,26.0874824524,,,,,,,,,,,,,
1993-12-10,26.0351028442,,,,,,,,,,,,,
1993-12-13,26.1922588348,,,,,,,,,,,,,
1993-12-14,26.0001831055,,,,,,,,,,,,,
1993-12-15,25.9652595520,,,,,,,,,,,,,
1993-12-16,26.0525474548,,,,,,,,,,,,,
1993-12-17,26.1957550049,,,,,,,,,,,,,
1993-12-20,26.2308883667,,,,,,,,,,,,,
1993-12-21,26.1430015564,,,,,,,,,,,,,
1993-12-22,26.3188037872,,,,,,,,,,,,,
1993-12-23,26.3012199402,,,,,,,,,,,,,
1993-12-27,26.4418601990,,,,,,,,,,,,,
1993-12-28,26.4946079254,,,,,,,,,,,,,
