,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
ma_ratio_XLB,0.007087297998993571,0.0004930292853912949,0.00029361114269691493,0.0021880497667915795,0.017935145510226316,0.0005380440405113803,0.005451813388887552,0.00023746485074509376,0.005295682670670004
ma_ratio_XLE,0.024003607949925287,0.010262684571922224,0.007774868739317792,0.0068465549407710526,0.010928310337646147,0.011595322944967887,0.006550921765369991,0.010943081677634154,0.016793971139296947
ma_ratio_XLF,0.008275739925238947,0.002391079141228726,0.0025492561471539723,0.001386994368151113,0.007493454587114858,0.0013127854513354004,0.018278687981684975,0.0008477058407272027,0.004275077084985706
ma_ratio_XLI,0.007001998022164092,0.0014815647021843164,0.0004241643404751171,0.0012886863060401102,0.0036481651081315797,0.003123991863293923,0.0026477488180393282,0.006707409382556508,0.0026770274774228896
ma_ratio_XLK,0.010504634213310332,0.007380294152916928,0.014063270740361337,0.006532954568090972,0.02973001908632978,0.018889743251893305,0.015398721760000567,0.011754297369490315,0.012588519977852458
ma_ratio_XLP,0.0016443874974565213,0.0018714306684109792,0.024631850660648463,0.01668459063746636,0.016356390478527588,0.007137659108920757,0.018432630519463707,0.02896692080682089,0.015680301834981262
ma_ratio_XLU,0.0028135638668278233,0.011596170103192742,0.014749264375891207,0.012588899189317456,0.007803927270536752,0.0006810083252799886,0.01183433962038037,0.016668916937187465,0.014951867339011708
ma_ratio_XLV,0.029957014925774173,0.018144162243175086,0.03452879573350294,0.025036953680265518,0.012438677085420157,0.01818856133930169,0.04169045687472561,0.0203920396237879,0.012721241380612447
ma_ratio_XLY,0.013274654026372321,0.015141608268199172,0.01338565392086601,0.00864147937217025,0.03419090089272383,0.021245621157936847,0.00751540076287641,0.012046666800231205,0.040667271346509576
mom12m_XLB,0.015706309832901607,0.015517257418374557,0.017738554499494266,0.035958054478422215,0.002478766661601544,0.006712774058951198,0.0022023958472239718,0.008534145253051111,0.004371644521588996
mom12m_XLE,0.026151625003509163,0.014848540725434775,0.02111534756276047,0.018869646768803632,0.0242385219759095,0.004701794096180915,0.010185157468647064,0.014916233605033788,0.024597517755068955
mom12m_XLF,0.09872561011232703,0.16771119031467982,0.08707635538131629,0.09956199232645493,0.0514917242588665,0.12070574951374823,0.003945123738151428,0.065597718955172,0.04106470682997498
mom12m_XLI,0.004068730985105688,0.01765810634669022,0.0018285293361068953,0.005565740394821412,0.005314271394931574,0.004939384628186119,0.011132911055391255,0.0010816947332996484,0.0020451943169730144
mom12m_XLK,0.005368050134567809,0.005373875521326164,0.016946980997392704,0.008139245999020927,0.003142585907001703,0.009591652681065072,0.006680328719708366,0.005620539387153851,0.00017634738138351484
mom12m_XLP,0.007355811459657197,0.014875685705875968,0.010453979561017273,0.01258098717962047,0.017721642339802602,0.015532907504236,0.009081032578516711,0.01494613421731785,0.022421814400967906
mom12m_XLU,0.025871798329795626,0.0019253336458410954,0.016560985604628677,0.008267624239074817,0.017728000189722763,0.0088671087155135,0.01955522278705939,0.04013318748711876,0.015344355990521667
mom12m_XLV,0.013416962609157276,0.004848451641475758,0.0362545817519372,0.008207891281872663,0.003641416406718235,0.015724724033315353,0.01163591256768521,0.028984468006263,0.00857157040674657
mom12m_XLY,0.02594755955854205,0.01140108123476326,0.02089748053126357,0.003012986655770628,0.0009035739550005521,0.030680655951658697,0.012687706855832292,0.017489895752998245,0.00043125581686941506
mom1m_XLB,0.03953152497695957,0.014124882297635552,0.011079274975243903,0.008440698257636402,0.00882381148231325,0.0012041428560758043,0.013315786310094347,0.02470990962559104,0.014396463226796666
mom1m_XLE,0.03315426589797036,0.11752732946833998,0.1106595507805779,0.1051576922365715,0.011941918201810764,0.009182940185035359,0.046322789949843866,0.03498360269659437,0.03722297017962491
mom1m_XLF,0.023572334757473293,0.0018045648538434096,0.011136400464518893,0.011644312018336355,0.009105351964950536,0.007813252617848244,0.04832418964144771,0.025500898061927808,0.0026732492463628745
mom1m_XLI,0.010350626049989063,0.0042669719686850875,0.02349690990976608,0.013605507633833669,0.0031027764493383853,0.003381587676233189,0.019902918209870085,0.010403967920520061,0.0025516040759361817
mom1m_XLK,0.008298742382986168,0.007053632350551104,0.003919534375940047,0.01826736276754466,0.00827743865714113,0.008027516674556427,0.008814300279369844,0.041177627422541004,0.01835705517726182
mom1m_XLP,0.007701135991557151,0.008077797959745987,0.010022369088539158,0.024241798512172903,0.005398552873860881,0.0032934511176228275,0.011719019051436182,0.01940191461701677,0.000655700119163427
mom1m_XLU,0.006373946222902791,0.02084252714434453,0.0279466433238568,0.012083376207872176,0.010390980035824357,0.002095700659228045,0.02316383116559849,0.03646448011377237,0.03055797617234573
